measure,subset,slope_per_dex,ci68_lo,ci68_hi,wilcoxon_p,n_windows_negative,n_windows
p = ln(a1 a3/a2^2),all_5_bands,-0.6423347602997654,-0.7755820639477397,-0.2362292871279558,0.00038070976734161377,20,27
p = ln(a1 a3/a2^2),outermost_dropped,-0.34954752632430053,-0.6737055837052311,-0.023091147445842834,0.07722577452659607,17,27
T (triaxiality),all_5_bands,-0.02104933890124157,-0.033175513001810895,0.013189589181110335,0.11668527126312256,15,27
T (triaxiality),outermost_dropped,0.013189589181110335,0.007086769794889853,0.038785740829611066,0.9340859353542328,11,27
a3/a1,all_5_bands,-0.08325682605896752,-0.1115526409294365,-0.049269496849324586,1.3470649719238281e-05,21,27
a3/a1,outermost_dropped,-0.1405327922050426,-0.16349336002515258,-0.10862332715533973,2.9802322387695312e-08,26,27
a3/a2,all_5_bands,-0.24090936289098183,-0.2880997852420737,-0.21405925877941123,7.450580596923828e-08,26,27
a3/a2,outermost_dropped,-0.28430927986975635,-0.322149634326551,-0.2719508460459718,1.043081283569336e-07,25,27
a2/a1,all_5_bands,-0.011755935359961054,-0.07321715039731795,0.03558252482690413,0.6616804599761963,14,27
a2/a1,outermost_dropped,-0.08597161144756962,-0.13597802936392986,-0.05027116160714153,0.046262577176094055,19,27
alpha (profile slope),all_5_bands,-0.21283086748401808,-0.36628095698628976,-0.18858799769692464,0.003550395369529724,20,27
alpha (profile slope),outermost_dropped,-0.3053239457404397,-0.39490003059599105,-0.23412460367861543,0.00038070976734161377,22,27
